filename,raga,rmse,chroma_stft,spec_cent,spec_bw,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18
Ashwath Narayanan - Thillana Purnachandrika.mp3,Pūrṇacandrika,0.027705954,0.31040844,1922.568723830501,2197.412128585444,-287.41516,105.58573,-2.4728754,6.523668,-17.870808,7.114585,-25.492115,-7.6118484,-7.40136,-10.722024,-6.958716,-1.3519498,-12.96551,0.3370941,-6.5635195,-8.995296,-5.429917,1.1662364,-8.264988
Ashwath Narayanan - Angakaram.mp3,Suraṭi,0.026571,0.2595476,1833.3085887914483,2105.9242767047267,-320.1214,97.59798,-5.4189944,7.8990765,-14.629797,4.164872,-21.840168,-8.757792,-10.163009,-8.89337,-6.093251,-5.2586017,-12.188825,-3.669721,-3.633722,-7.764852,-6.4496202,1.7535439,-7.7695117
Ashwath Narayanan - Samajavarada.mp3,Śudda sāvēri,0.031727385,0.28884926,1857.0496059855002,2129.8986557266985,-280.87756,106.73021,-9.069327,2.0196946,-18.973269,3.0964932,-24.232698,-8.398088,-9.3445425,-5.9698377,-4.466263,-3.1856072,-13.0405445,-1.8308625,-6.6994867,-6.783885,-4.565683,1.9530075,-10.174519
Ashwath Narayanan - Evarura.mp3,Mōhanaṁ,0.01798519,0.25876975,1816.0638809684388,1953.1912377429055,-375.37866,90.77818,-16.254135,2.7539005,-18.004452,2.7996845,-20.525503,-11.630367,-9.166978,-8.543011,-9.86123,-4.740694,-7.447841,-2.7229142,-3.2414222,-3.2238002,-2.3460498,1.9640964,-3.151111
Ashwath Narayanan - Eranapai.mp3,Tōḍi,0.02650139,0.2966698,1982.6988874655804,2184.9116337537343,-292.32886,98.212135,-10.672668,8.702399,-17.468561,1.8158542,-27.890099,-7.5224476,-7.528366,-11.2015295,-6.0755033,-0.7946638,-13.134461,-0.78151274,-6.5726357,-7.6474247,-6.3209577,1.6414492,-12.696192
Ashwath Narayanan - Parama Purusham.mp3,Lalita pancamaṁ,0.023327338,0.27068844,1832.1503894594675,2100.7624690538723,-322.2244,102.895134,-8.115531,9.637228,-14.146027,4.5659037,-23.406706,-7.2588415,-11.814808,-10.6779585,-5.522904,-2.8983655,-10.881686,-2.176978,-4.8564095,-6.740852,-5.477484,2.190719,-7.329797
Ashwath Narayanan - Marubari.mp3,Kamās,0.025533581,0.23968406,2047.194222583444,2184.0474441672377,-323.75757,83.7584,-11.188357,8.332791,-20.675684,5.0054116,-23.725536,-7.5627933,-8.31445,-5.6120157,-9.0210705,-5.6230736,-13.271347,-3.1095626,-3.4407763,-8.194249,-3.4096372,0.60970044,-8.34325
Ashwath Narayanan - Aparadhamula.mp3,Latāngi,0.019619275,0.247097,1824.6058259220179,2002.6154109316406,-367.67618,88.83605,-17.511364,2.6840131,-14.758117,0.5333399,-20.436335,-10.9406395,-10.394269,-10.700517,-9.196778,-2.2291245,-8.561833,-5.4206967,-4.205359,-4.318941,-2.9169972,3.857619,-4.051034
Ashwath Narayanan - Sadabalarupapi Shlokam.mp3,Hamsadhvani,0.013298949,0.25996262,1091.7710038244263,1319.0165976828484,-443.97284,137.10487,-20.895817,30.26647,-2.2975647,9.160822,-2.853241,-6.616249,-4.4586205,-4.9903617,-13.734027,-11.753418,1.4336686,-8.880657,-2.238039,-4.1231494,-7.0911484,-5.944199,-3.8291342
Vignesh Ishwar - Hiranmayeem Lakshmeem.mp3,Lalita,0.036450267,0.25545606,1652.955827185635,1715.0254553948046,-286.54974,115.43322,-46.839054,-2.2983966,-7.4267154,-8.618834,-9.519786,-12.6938095,-10.988234,0.6112096,-12.209005,-1.6736071,-2.9453495,-7.776586,-7.1515083,3.0120325,-12.071727,-0.30781537,-6.8989487
