filename,raga,rmse,chroma_stft,spec_cent,spec_bw,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18
Ashwath Narayanan - Thillana Purnachandrika.mp3_chunk1,Pūrṇacandrika,0.02444411,0.3153446,1753.634996922946,2107.600555118579,-313.55624,110.688156,-3.174592,5.1309547,-14.643488,3.8909688,-23.473738,-9.483575,-8.442505,-10.247172,-8.11178,-3.3772879,-10.38474,0.02872956,-6.0749073,-7.753468,-5.9920073,1.158364,-6.5488234
Ashwath Narayanan - Thillana Purnachandrika.mp3_chunk2,Pūrṇacandrika,0.029678587,0.30073136,2022.874045274854,2233.385451442349,-275.75934,100.09011,-4.90855,8.000286,-18.370161,6.040465,-27.881592,-5.874468,-6.810704,-10.520545,-7.4212046,-1.5177295,-13.780178,1.3958808,-8.047682,-8.785493,-4.0688524,1.3545337,-8.048108
Ashwath Narayanan - Thillana Purnachandrika.mp3_chunk3,Pūrṇacandrika,0.029162012,0.29110122,2068.9187220733975,2283.3252557001088,-280.9448,98.27402,-1.0902797,9.872053,-18.437868,7.6414323,-29.149048,-4.7124286,-6.4187737,-11.615723,-7.495825,0.7276729,-16.22836,1.8611803,-7.924212,-9.845714,-3.4658372,1.0307841,-8.679165
Ashwath Narayanan - Thillana Purnachandrika.mp3_chunk4,Pūrṇacandrika,0.028963266,0.3043799,1892.598401653419,2229.3225388728956,-285.26877,108.86684,3.145665,8.446534,-17.382092,8.885662,-27.840956,-6.151632,-8.279117,-12.765741,-7.3033633,-0.77143675,-15.981698,0.083712466,-6.2559896,-9.668728,-5.9660907,0.8615694,-8.824648
Ashwath Narayanan - Thillana Purnachandrika.mp3_chunk5,Pūrṇacandrika,0.033061832,0.32833305,1935.9205830978567,2214.616117322278,-253.7164,111.03234,-2.1021516,4.9252157,-22.77866,11.414248,-27.766184,-7.1314626,-7.0810547,-8.99768,-5.6315327,-0.7755245,-15.576931,-0.71683574,-6.5866246,-10.140357,-7.7354717,2.0187936,-11.506115
Ashwath Narayanan - Thillana Purnachandrika.mp3_chunk6,Pūrṇacandrika,0.02880441,0.313663,1939.578031446012,2180.337061786521,-268.56244,109.09058,-7.446119,5.1447024,-22.83723,10.020133,-23.570679,-8.970624,-7.802233,-7.850294,-6.1330285,0.43986043,-11.727341,0.6929902,-6.929395,-8.834384,-7.2289886,2.1923003,-10.489304
Ashwath Narayanan - Angakaram.mp3_chunk1,Suraṭi,0.014804945,0.21603394,1616.4205447384763,1991.4768212518857,-435.12973,91.09985,-13.250093,11.161232,-5.2278533,-3.9413767,-28.675442,-10.446375,-12.828819,-9.64629,-6.5335827,-7.9687176,-11.789413,-4.766498,-5.2105594,-8.295113,-8.693467,1.4835024,-3.7173355
Ashwath Narayanan - Angakaram.mp3_chunk2,Suraṭi,0.02312209,0.23689069,1688.6389335539147,2009.7614913863122,-372.45645,93.68203,-9.815313,8.614851,-11.777371,0.17964536,-23.466692,-10.278137,-11.741061,-9.611849,-6.3759046,-7.3424973,-13.148123,-4.423545,-4.908371,-7.310801,-7.8341174,1.4232357,-6.2387567
Ashwath Narayanan - Angakaram.mp3_chunk3,Suraṭi,0.032256477,0.25163323,1815.0810606070563,2064.0587336236385,-303.8334,101.707924,-11.078127,3.7562366,-22.616661,6.0912,-22.983343,-8.784476,-9.324359,-6.084664,-7.362506,-6.433662,-14.712652,-4.491875,-3.638737,-7.153558,-5.7107153,2.7334878,-8.738935
Ashwath Narayanan - Angakaram.mp3_chunk4,Suraṭi,0.03348735,0.259318,1826.774047650776,2071.8319774041493,-287.32077,105.5791,-10.315034,3.8316271,-25.203606,8.664481,-20.02614,-7.6417375,-9.710616,-4.814869,-6.096678,-5.9484134,-13.948095,-4.2762055,-3.6451726,-6.500496,-5.6090217,2.7852187,-9.849768
Ashwath Narayanan - Angakaram.mp3_chunk5,Suraṭi,0.032650355,0.25690165,1800.4070076948444,2067.594011426642,-293.97635,105.18849,-9.991575,3.653401,-25.366062,9.137627,-20.821217,-9.117273,-10.156021,-4.5046396,-6.133794,-6.191145,-14.341525,-4.006752,-3.345691,-8.038478,-6.6927094,3.0628648,-10.253901
Ashwath Narayanan - Angakaram.mp3_chunk6,Suraṭi,0.02435691,0.2542543,1635.4365358905509,1972.6928249262783,-343.26035,110.404434,-6.252791,12.23653,-12.843776,7.5678854,-20.143328,-8.339536,-11.113821,-7.6454997,-7.062275,-7.0127935,-13.054933,-5.1192155,-5.052338,-6.713912,-7.5135765,1.9569802,-5.996563
Ashwath Narayanan - Angakaram.mp3_chunk7,Suraṭi,0.024323078,0.25404435,1893.545476193542,2103.0929854498236,-335.20645,93.57999,-3.102926,13.908005,-7.0550013,4.3144956,-19.676868,-7.432445,-7.5747395,-10.683385,-6.7237372,-5.7871995,-10.979473,-5.011512,-5.9673886,-6.956531,-6.781016,1.1578351,-6.3921456
Ashwath Narayanan - Angakaram.mp3_chunk8,Suraṭi,0.030861562,0.25185233,2239.443100866494,2282.878393960184,-298.64725,80.16184,-10.146924,8.213175,-19.2523,7.142206,-22.796595,-6.9277887,-6.1273623,-8.345511,-5.893296,-4.2184167,-12.552473,-3.5387866,-4.807519,-9.00554,-6.56758,2.9096775,-9.258756
Ashwath Narayanan - Angakaram.mp3_chunk9,Suraṭi,0.028896049,0.25548205,2119.7699976307968,2223.9139605484183,-304.95392,86.63206,-10.108795,8.9725685,-18.79953,7.5229855,-23.580053,-6.784137,-7.6912885,-8.141128,-6.879737,-3.6181355,-11.753864,-2.6791842,-4.02553,-7.694726,-6.611779,3.017676,-8.359375
